iter	Passed	Remaining
0	2	207
1	4	207
2	6	215
3	8	192
4	10	191
5	12	189
6	13	181
7	15	175
8	17	172
9	18	168
10	20	164
11	22	161
12	23	158
13	25	156
14	27	154
15	28	152
16	30	150
17	32	147
18	33	144
19	35	142
20	37	139
21	38	137
22	40	136
23	43	136
24	44	134
25	46	131
26	47	129
27	49	127
28	50	124
29	52	122
30	53	120
31	55	118
32	57	116
33	59	115
34	61	113
35	62	111
36	64	110
37	66	108
38	68	106
39	70	105
40	71	103
41	72	99
42	73	97
43	75	95
44	76	93
45	77	91
46	78	89
47	80	87
48	81	84
49	82	82
50	83	80
51	84	78
52	86	76
53	87	74
54	87	71
55	88	69
56	89	67
57	90	65
58	91	63
59	92	61
60	93	59
61	94	57
62	95	55
63	95	53
64	96	52
65	97	50
66	98	48
67	98	46
68	99	44
69	100	43
70	101	41
71	101	39
72	102	37
73	103	36
74	103	34
75	104	33
76	105	31
77	105	29
78	106	28
79	107	26
80	107	25
81	108	23
82	109	22
83	109	20
84	110	19
85	111	18
86	111	16
87	112	15
88	113	13
89	113	12
90	114	11
91	115	10
92	115	8
93	116	7
94	117	6
95	117	4
96	118	3
97	119	2
98	119	1
99	120	0
